fpr,tpr
0.0,0.0
0.0006755352317605487,0.04614019520851819
0.0009353564747453752,0.04897959183673469
0.0009873207233423405,0.05128660159716061
0.002546248181251299,0.0963620230700976
0.00265017667844523,0.09884649511978705
0.00265017667844523,0.09937888198757763
0.004676782373726876,0.1233362910381544
0.0047807108709208065,0.1256433007985803
0.005092496362502598,0.14338952972493346
0.005092496362502598,0.14356699201419698
0.005248389108293494,0.14516415261756876
0.008314279775514447,0.18952972493345163
0.0088339222614841,0.19449866903283053
0.010236956973602161,0.21419698314108251
0.010444813967990022,0.2152617568766637
0.010756599459571815,0.21845607808340728
0.01091249220536271,0.21987577639751552
0.015537310330492621,0.2518189884649512
0.01574516732488048,0.25377107364685003
0.016056952816462276,0.2553682342502218
0.016160881313656204,0.2557231588287489
0.01642070255664103,0.25625554569653947
0.017252130534192476,0.2573203194321207
0.01818748700893785,0.26743566992014195
0.018239451257534817,0.26779059449866904
0.019694450218249844,0.2741792369121562
0.02561837455830389,0.29671694764862466
0.025722303055497817,0.2972493345164153
0.02847640823113698,0.3086069210292813
0.030139264186239866,0.31694764862466723
0.0315942631469549,0.3414374445430346
0.03206194138432758,0.3430346051464064
0.03237372687590937,0.3448092280390417
0.03237372687590937,0.3451641526175688
0.032893369361879025,0.3458740017746229
0.03341301184784868,0.3490683229813665
0.03580336728330908,0.35403726708074534
0.03580336728330908,0.3543921916592724
0.03595926002909998,0.3554569653948536
0.03658283101226356,0.3572315882874889
0.040843899397214715,0.38118899733806566
0.04089586364581168,0.3818988464951198
0.041311577634587406,0.38456078083407275
0.04136354188318437,0.38473824312333627
0.0416233631261692,0.38491570541259984
0.046404073997090005,0.3989352262644188
0.04946996466431095,0.4044365572315883
0.054666389524007486,0.419698314108252
0.05471835377260445,0.419698314108252
0.055549781750155895,0.4230700976042591
0.055549781750155895,0.4237799467613132
0.05580960299314072,0.42697426796805676
0.05601745998752858,0.42732919254658386
0.05606942423612554,0.42786157941437447
0.05617335273331948,0.428039041703638
0.056433173976304304,0.42892635314995564
0.06583870297235501,0.44418811002661934
0.06589066722095198,0.44418811002661934
0.06635834545832467,0.44702750665483587
0.06667013094990647,0.44702750665483587
0.06718977343587612,0.44986690328305234
0.06880066514238205,0.45590062111801244
0.07015173560590314,0.45714285714285713
0.07223030554978176,0.46157941437444544
0.07233423404697568,0.462111801242236
0.07285387653294534,0.4622892635314996
0.0729058407815423,0.4629991126885537
0.0754520889627936,0.4766637089618456
0.0805445853252962,0.4880212954747116
0.08070047807108709,0.48837622005323866
0.08075244231968405,0.48855368234250224
0.08231136977759301,0.4913930789707187
0.08241529827478694,0.4917480035492458
0.08719600914570776,0.4937000887311446
0.08989815007274995,0.5023957409050577
0.0904177925587196,0.5034605146406389
0.0905736853045105,0.5043478260869565
0.09098939929328621,0.5050576752440107
0.10870920806485138,0.5430346051464063
0.10891706505923925,0.5430346051464063
0.11000831427977552,0.5446317657497781
0.11006027852837248,0.5446317657497781
0.11317813344419039,0.5494232475598935
0.11348991893577219,0.5517302573203194
0.11411348991893577,0.5543921916592724
0.11426938266472667,0.5551020408163265
0.18904593639575973,0.6358473824312334
0.18998129287050508,0.6369121561668145
0.19756807316566202,0.6493345164152617
0.2034400332571191,0.6555456965394854
0.20395967574308876,0.6564330079858031
0.21009145707753066,0.6729370008873115
0.21253377676158802,0.6773735581188998
0.21819787985865724,0.6803904170363798
0.21996466431095407,0.6826974267968057
0.2206401995427146,0.6832298136645962
0.23326751195177717,0.7080745341614907
0.24573893161504884,0.7160603371783496
0.24729785907295782,0.7174800354924579
0.24729785907295782,0.7176574977817214
0.2568073165662024,0.7263531499556344
0.2569112450633964,0.726530612244898
0.28959675743088753,0.7471162377994676
0.35850135107046355,0.8044365572315882
1.0,1.0
